ROI index,stat (raw),p-value (uncorr)
73,0.209044664034578,0.173252442908565
74,0.214176672637016,0.162699845161237
75,0.218924526945926,0.153360536542735
76,0.248522898939897,0.103802579169817
77,0.137694717855873,0.372754669615137
78,0.118773969493734,0.442546325278338
79,0.169395276515972,0.271654214252932
80,0.166441644296962,0.280222721090679
81,0.179450694734454,0.243790614528298
82,0.223430092787367,0.144866964176365
83,0.16112347219216,0.296092269444056
84,0.139728292268037,0.3656672809814
85,0.267489116514223,0.0791932900052269
86,0.215974330405053,0.159116307900151
87,0.130988089027463,0.396703413684426
88,0.215700670245202,0.159658088646054
89,0.198405078836493,0.19668217981
90,0.178860394497206,0.245370742346876
95,0.239355284010862,0.11762057423848
96,0.252639454723563,0.0980181062220532
98,0.122224322328152,0.429309146567218
99,0.23564537259189,0.123591703959432
100,0.279308000190465,0.0663405838539295
103,0.135299923593118,0.381205298082873
104,0.302322429685738,0.0460871222715773
105,0.190845679057314,0.214632906548847
106,0.16527663908896,0.283650535867141
109,0.256722341694986,0.0925292849681576
110,0.361435504893827,0.0159267381471481
116,0.219539392483586,0.152180412653826
117,0.221492190772611,0.148476553473626
118,0.158332556222386,0.304647805960612
119,0.173770351343857,0.259283084075979
120,0.0454875878235724,0.769372358691399
121,0.0538921208621352,0.728259816618922
123,0.11051607770399,0.475122841001742
124,0.0986480818989617,0.524075127953458
125,0.112062738970278,0.468926650221273
126,0.0956030191197825,0.537024408463685
127,0.17689270909381,0.250687813301318
128,0.131771589616495,0.393860354800021
131,0.180567319373508,0.240820484852676
132,0.132158603647201,0.39246040964013
133,0.097315229369018,0.529724110438341
134,0.102193692115016,0.509194235224257
135,0.422710646682504,0.00425563876440174
136,0.236080291249519,0.122880130079657
137,0.197026433118173,0.199874260359481
138,0.190963801544853,0.214343941000769
139,0.155185352628049,0.314483308433124
140,0.129301889452303,0.402862393555067
141,0.215496943868424,0.160062289630317
142,0.155701853840852,0.31285551473243
143,0.191356309629388,0.213385682320134
144,0.220359984889718,0.150615829908885
145,0.122083825045719,0.429843789157845
146,0.0875743856662232,0.571891903578171
147,0.227180776310831,0.138065557581633
148,0.247473043224606,0.105318821373413
149,0.0430082232722567,0.781626801010092
150,0.170314205667819,0.269024051623814
151,0.124865889489313,0.419326606339721
152,0.0273811700200848,0.859955831182474
153,-0.00112892080865566,0.994197172603271
154,0.171857139957041,0.26464586939848
155,0.217152164570996,0.156799779658504
156,0.190291292679211,0.215992729445486
157,0.214955645395967,0.161139868032584
158,0.215092546776117,0.160866836987301
159,0.227122281979536,0.138169776016112
160,0.222095366034707,0.147346039821883
161,-0.0266783863454063,0.863515854754115
162,0.292032096245069,0.0544150554905979
163,0.170185239243912,0.269392159904136
164,0.252599302901519,0.0980733018026403
165,NaN,NaN
166,0.010490809939537,0.946114698312552
167,0.202102120313104,0.188300202799296
168,0.252009933316364,0.098886247650756
169,0.253925846791988,0.0962623643588652
170,0.176669891124735,0.251294758943067
171,0.0595691974049601,0.700901799592286
172,0.0696287549930073,0.653349162161162
175,0.142564591898856,0.355918717727702
176,0.0982986653144091,0.525553164491088
177,0.0823629729766764,0.595065008212062
180,0.173766216389822,0.259294595662922
181,0.255079230945871,0.0947088696022298
182,0.162929777235678,0.290638497190221
183,0.189559195182724,0.217797593481308
184,0.174101395772212,0.258362573263419
185,0.200530770264807,0.1918311987987
186,0.195709137463769,0.202958192174192
187,0.186440620339478,0.225602875658281
188,0.247749952169611,0.104917264271948
189,0.260839277906155,0.0872385978685119
